Total population supplied (inhab),Benefit wastewater (Total with PV summed),Total benefit reclaimed wastewater (total PV),Total benefit freshwater management (total PV),Total benefits of energy savings (total PV),Total benefits of environmental savings (total PV),Total benefits  (ILS),Total costs with wastewater (ILS PV),Total costs with reclaimed ww management (ILS),Total costs with costs freshwater in the buffer (ILS),Total costs (ILS),Costs - benefits (ILS),Coverage (region),Coverage (town),Benefits/costs,Onsite construction costs ,Onsite OeM costs (year) ,Onsite OeM costs (total) ,Benefits onsite treatment (connection fee) ,Benefits onsite treatment (sanitation fee) ,Population supplied with onsite treatment (inhabitants),Total wastewater pumping costs (ILS PV),Total land purchase costs at each WWPS (ILS) ,Centralization degree Eggiman,Centralization degree Huang,Number activated,Number WWTP,Number WWPS,idx_evaluation
67201.17788999999,35796245.0554053,61414318.984506115,399880.81675587466,49789443.4423263,39388397.46083257,198059352.78105628,146589438.4138066,19694368.24150358,1512166.658211939,195965016.14882478,-2094336.6322315037,0.7913934863098392,0.7913934863098392,1.0106872985463944,6071269.67479839,2142801.061693549,21597788.94555305,4428455.527500002,6842611.493730118,17713.82211000001,499984.2149512439,0.0,0.9988422252763779,0.1781702729650208,16,11,5,0
53386.44994000001,28004038.70538436,47426649.12607236,644022.2097667378,37402978.30565283,30417331.607706472,163956212.7678411,144088560.4953748,13381053.839303466,2433332.4171318533,210330762.93988618,46374550.17204508,0.6287045862332923,0.6287045862332923,0.7795160844574162,10806156.270564511,3813937.507258063,38441560.81768303,7882137.514999997,12179055.29825834,31528.550059999987,1180099.0998285532,0.0,0.9989671164544586,0.3286793184171182,12,8,4,1
42735.22952000001,21828611.470129058,36115267.24065634,5782.870653358516,29934232.937229607,23162717.16434792,137885032.9490738,75796465.71908623,7318269.8468796,21974.237267708555,149083262.99206007,11198230.042986274,0.5032706767944416,0.5032706767944416,0.9248860682397146,14456776.172580643,5102391.59032258,51428188.391065896,10544942.619999997,16293478.646057498,42179.77047999999,61588.62517999707,0.0,0.9991558499135064,0.4926749795647683,6,5,1,2
43855.43377,23369982.285753034,40108425.28241743,1281968.848428186,31066481.500033766,25723750.1396136,147676258.40810937,140418883.51736152,12565031.195590494,4863111.797560401,222363625.4214961,74687367.01338673,0.5164627423894483,0.5164627423894483,0.6641205733545005,14072835.199798385,4966883.0116935475,50062365.994455434,10264891.5575,15860758.794363372,41059.56623,381397.71672987577,0.0,0.998096784935745,0.20448218719402905,17,12,5,3
56294.4384,30515240.79551751,53108734.60054059,1232423.0564667068,41544964.735009365,34061567.10156976,178673809.1144443,139178205.8466797,17102452.310864475,4676678.036537386,206048545.67547014,27374736.561025858,0.6629504610492846,0.6629504610492846,0.867144237920798,9809466.677419353,3462164.709677419,34895961.193549536,7155140.4,11055738.425340367,28620.5616,385781.6104197181,0.0,0.9984685298466972,0.3443023544951791,16,12,4,4
42167.094979999994,22278853.996555775,37962592.76993018,514067.34236175404,30372112.99563127,24347509.137779027,142675053.8831606,82034337.62199444,10730365.219331391,1957573.196486151,162113013.97908017,19437960.09591958,0.49658005040334446,0.49658005040334446,0.880096238921152,14651499.704435484,5171117.542741936,52120893.20719205,10686976.255,16512941.385902587,42747.905020000006,618345.0296406733,0.0,0.9984998127693059,0.2700932323718477,15,9,6,5
63684.07210000001,33705706.080798276,57517747.63994378,248906.1571763276,43526195.6700419,36889310.87334092,185396820.60396257,218010579.129662,16370421.020624954,893145.4137601434,268688897.7797222,83292077.17575964,0.749974351999058,0.749974351999058,0.6900055124568468,7276729.320564511,2568257.407258063,25886062.141472716,5307731.974999997,8201222.207661387,21230.927899999988,251960.75363786065,0.0,0.9980171880307261,0.15321794158188753,19,17,2,6
10758.902709999998,6122918.773520855,11064438.836074412,157507.78350893763,7368752.931094961,7096236.21595998,78994382.9495647,57588892.05433433,5365522.643826324,555112.0086594282,179477754.31200632,100483371.36244163,0.12670202802802802,0.12670202802802802,0.44013467436326337,25416404.313104838,8970495.639919356,90415706.35346738,18539024.3225,28645504.086905535,74156.09729,136116.93861404466,0.0,0.9937597678704384,0.15720653428040787,12,10,2,7
54451.573800000006,28404304.396286026,47874809.56212455,143601.62861540026,38372781.03115163,30704761.66755778,164883727.0969448,132438772.55305403,11929246.829844786,509776.1381039907,192717025.7488203,27833298.651875496,0.6412479985868221,0.6412479985868221,0.8555742620885385,10441093.657258064,3685091.8790322575,37142895.84372657,7615856.549999998,11767612.26120945,30463.426199999994,255240.72683287843,0.0,0.9984099096705255,0.297626003184598,15,11,4,8
77946.84701,41857067.7289404,72293632.40672588,1217303.9238876647,55972849.71183507,46365902.516021274,222140498.41696107,232718678.02925262,21901893.857292317,4601967.966045914,270513518.4833093,48373020.066348255,0.9179396691986104,0.9179396691986104,0.8211807663529656,2388278.242540323,842921.7326612906,8496003.667858016,1742038.2475000008,2691703.882050777,6968.152990000002,406696.7203200903,0.0,0.9986275814927909,0.3314015187907944,19,15,4,9
