idx_run,connect_to_0,connect_to_1,connect_to_2,connect_to_3,connect_to_4,connect_to_5,connect_to_6,connect_to_7,connect_to_8,connect_to_9,connect_to_10,connect_to_11,connect_to_12,connect_to_13,connect_to_14,connect_to_15,connect_to_16,connect_to_17,connect_to_18,connect_to_19,connect_to_20,connect_to_21,connect_to_22,connect_to_23,connect_to_24,connect_to_25,connect_to_26,connect_to_27,connect_to_28,connect_to_29,connect_to_30,connect_to_31,connect_to_32
30,6,-2,-1,-1,-2,0,-1,-2,6,-2,-2,-1,-2,-2,-1,-2,-2,22,-2,-2,17,-2,-1,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1
31,-1,-2,3,-1,-1,-1,4,-2,6,-2,-2,-2,-1,-1,-2,-1,-2,-1,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-1
32,-2,-1,-2,-2,-1,-1,8,-2,-1,-1,-2,-1,-1,-1,-2,-2,-1,-1,13,-1,17,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1
33,8,-2,-2,-2,-1,-2,-1,-1,6,-2,-1,-2,-1,-2,-2,-1,-1,15,15,-2,-2,-2,-2,-2,-1,-2,29,-2,-1,-1,-2,-2,-1
34,-1,-2,-2,-2,-2,0,-2,-2,-2,-1,-2,-2,-2,-2,-2,19,-2,-1,-1,18,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,-1,-1,-2
35,-2,-1,3,-1,7,-2,-2,-1,7,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2
36,-1,-2,-2,-2,-1,-1,-2,-1,7,-1,-2,-2,-1,-1,-2,-2,-2,22,-1,22,17,-2,-1,-2,-1,-1,29,-1,-2,-1,-1,-2,-2
37,-1,-2,-1,-2,-2,0,-2,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,21,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2,-2,-1,-2,-2
38,6,-1,3,-1,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2
39,-2,-2,-1,-2,6,-1,-1,-2,-1,-2,-2,-1,-1,-2,-2,-2,11,20,-2,-1,-1,-2,-1,-1,22,-2,24,-2,-2,-2,-2,-1,-1
40,-1,0,-2,-2,-1,-1,-2,-1,-2,-1,-2,-1,-1,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-2,-1,-2,-1,-2
41,-2,-2,-1,-2,-1,-2,-1,-2,-2,-1,-2,-2,-1,-1,-1,-2,-2,-1,-2,21,-2,-1,-2,-2,-1,-2,-2,-2,-1,28,-2,-2,-2
42,-1,-1,-1,-2,-1,-2,-1,-2,6,-2,-1,-2,-1,-2,-2,19,-1,-2,-2,-1,-2,19,-2,-2,-1,-1,-1,-2,-2,-2,-2,-1,-2
43,8,-2,-1,-1,-2,-2,-1,-1,-1,-2,-1,-1,-2,-1,-2,-1,-2,-2,19,-1,-1,-1,-2,-2,-1,-2,-1,-1,-1,-1,-2,-1,-2
44,-1,0,-2,-2,-2,-1,-2,-2,-1,-1,-2,-1,-2,-2,-1,-2,-2,-2,-1,-1,-2,-2,-1,-2,22,-1,-2,-1,29,-1,-2,-2,-2
45,-2,-1,-1,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-2,-2,-1,-2,-2,-1,-1,24,-2,-2,-2,-2,-2,-1
46,-1,-2,-1,-2,-2,-2,-2,-1,7,-2,-2,-2,15,-1,-2,-1,-1,15,-1,18,-2,19,-2,-2,-2,-2,-2,-1,-1,28,-2,-1,-2
47,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,29,-1,-1,-1,-2,-2,-2
