Total population supplied (inhab),Benefit wastewater (Total with PV summed),Total benefit reclaimed wastewater (total PV),Total benefit freshwater management (total PV),Total benefits of energy savings (total PV),Total benefits of environmental savings (total PV),Total benefits  (ILS),Total costs with wastewater (ILS PV),Total costs with reclaimed ww management (ILS),Total costs with costs freshwater in the buffer (ILS),Total costs (ILS),Costs - benefits (ILS),Coverage (region),Coverage (town),Benefits/costs,Onsite construction costs ,Onsite OeM costs (year) ,Onsite OeM costs (total) ,Benefits onsite treatment (connection fee) ,Benefits onsite treatment (sanitation fee) ,Population supplied with onsite treatment (inhabitants),Total wastewater pumping costs (ILS PV),Total land purchase costs at each WWPS (ILS) ,Centralization degree Eggiman,Centralization degree Huang,Number activated,Number WWTP,Number WWPS,idx_evaluation
33731.344089999984,19143144.0293615,34521252.357757345,1580180.912909148,26020579.793004565,22140387.31026376,135973017.00016272,118861933.2098182,16405051.949871175,5994018.027048764,221616649.667823,85643632.66766027,0.39723657881410807,0.39723657881410807,0.6135505486793078,17542785.291733876,6191571.279435486,62406283.124065354,12795913.977500005,19771558.61936639,51183.655910000016,406578.06528560875,0.0,0.9977630015086693,0.43695685038585047,16,12,4,0
40534.02162999999,22384014.656024776,39535078.85496958,110051.75225403991,30204256.847701978,25356031.383784667,145828453.7677028,108030663.27652833,10672548.742117055,390960.3286928103,188530583.53089258,42702129.76318979,0.477348190896779,0.477348190896779,0.7735002514528756,15211222.425201617,5368666.738306453,54112037.37285442,11095244.592500003,17143775.680467736,44380.97837000001,113151.38549836486,0.0,0.9976651077175835,0.2346498314082842,15,14,1,1
70666.90501999999,37602233.31733666,64455522.43736386,1212101.8967805638,53084795.488095455,41338889.33864103,206759413.88909587,161187670.12967265,18475369.433310546,4588859.852566637,206791672.27141154,32258.382315665483,0.8322075607372077,0.8322075607372077,0.9998440054091089,4883419.6504032295,1723559.8766129045,17372159.79382069,3562023.7450000024,5503847.665878272,14248.094980000009,284193.41163780726,0.0,0.9991571973553645,0.34999644331149304,12,9,3,2
39525.44614999999,21715030.632473886,38199240.09640355,31849.623821695346,31242328.408306904,24499284.149002843,144568496.2105659,99119425.82711199,13235473.169063423,115169.55980852414,183509671.4587145,38941175.24814859,0.46547071954307234,0.46547071954307234,0.7877976951372316,15556903.53729839,5490671.8366935495,55341755.05983529,11347388.462500002,17533374.83805702,45389.55385000001,140944.30559687442,0.0,0.9978030571832451,0.2696176187927302,13,12,1,3
52050.59710999999,28301198.112848222,49376621.09699138,296588.1997374211,38659025.186610885,31667956.41797945,169212567.03580883,115898474.16036247,15353092.46033677,1060027.2187150877,184257563.97806454,15044996.942255706,0.6129729389389388,0.6129729389389388,0.9183480090725242,11264009.055040328,3975532.607661292,40070315.318292625,8216100.722500003,12695077.29914147,32864.40289000001,611645.7653172715,0.0,0.9987339381713718,0.3979898984284833,16,9,7,4
34134.783099999986,19387732.49074825,34983268.0703766,1679742.8397608383,25347127.5574212,22436703.52483235,136145344.25819498,134201584.15216056,16884753.309207592,6352000.987035387,236870909.627224,100725565.36902902,0.40198767120061224,0.40198767120061224,0.57476599584328,17404509.824596778,6142768.173387098,61914385.2978213,12695054.225000003,19615715.550055746,50780.216900000014,113676.05640239849,0.0,0.9975769506018258,0.23197388776144304,14,13,1,5
67755.0031,36315301.44147499,62624715.038526684,481577.7005628612,48442178.31305057,40164691.35530388,198947139.3297354,194321613.0897035,19479439.739149902,1770361.989285146,242985748.4544842,44038609.124748796,0.7979155991285404,0.7979155991285404,0.81876052647179,5881450.550403225,2075806.076612903,20922530.95074942,4289999.225,6628676.255816432,17159.9969,610352.1351930229,0.0,0.9989574233958638,0.1990552455557325,17,11,6,6
64329.424419999996,34074923.73199753,58187543.947424464,1559436.7339416912,47605290.90215115,37318888.268532805,191844408.75588027,150316042.45243618,17047830.025072783,5872289.9622110175,205555417.0990552,13711008.343174934,0.7575743322145675,0.7575743322145675,0.9332977523206419,7055540.017338711,2490190.594354839,25099208.625820994,5146393.8950000005,7951931.2768326085,20585.575580000004,164506.0161755015,0.0,0.9988807663631426,0.20130138577705148,14,11,3,7
72583.23200999999,38917918.64889131,67133832.97661589,1579576.8490964326,53839047.91927479,43056637.93193261,212373552.6190394,202375086.00002307,23301314.21955761,5999898.410893118,251784890.4734257,39411337.8543863,0.8547751517399752,0.8547751517399752,0.8434721885801725,4226614.0288306475,1491746.1278225817,15035655.24817992,3082941.997500002,4763596.295728363,12331.767990000008,846322.5659413461,0.0,0.9988082291807834,0.20058320786436742,17,13,4,8
32670.841529999998,18148855.720611233,32202360.29204388,1893238.4450426474,23432855.53922783,20653153.65102321,129572719.77576181,141093709.57156742,14902988.888889497,7146010.216000324,245049738.71832946,115477018.94256765,0.3847475891185303,0.3847475891185303,0.5287608974955822,17906263.99173387,6319857.879435484,63699313.52286158,13061039.6175,20181216.510313008,52244.15847,301452.52727677464,0.0,0.9964474684900245,0.14652464031100426,21,17,4,9
56105.581999999995,30050656.905248508,51792010.51762439,1226146.2254159758,41992811.184928715,33217079.164851964,176609749.61342114,125894165.31874636,15446414.07711464,4631891.226564791,191531438.20803404,14921688.594612896,0.6607263969852204,0.6607263969852204,0.9220927450124113,9874195.685483873,3485010.2419354846,35126226.612434745,7202354.500000001,11128691.115351574,28809.418000000005,558545.2876896263,0.0,0.9993017256247809,0.3579740650629452,11,6,5,10
59672.47937,31560094.53972242,53824114.866552025,1306017.9441439894,43840689.30483057,34520380.00903524,181112773.4048065,117145573.55367239,13557068.498057803,4939161.290711651,175283504.48312354,-5829268.921682954,0.7027319009597833,0.7027319009597833,1.0332562321758247,8651670.377217742,3053530.7213709676,30777244.43855265,6310630.1575,9750846.583022252,25242.52063,212786.3249113286,0.0,0.9990152212103884,0.25919112344119777,10,8,2,11
