radius,area__agricultural,area__urban
0.0,0.0,0.0
5.025125628140704,0.0,822.9897461
10.050251256281408,0.0,822.9897461
15.075376884422113,0.0,4114.9501954
20.100502512562816,0.0,4937.9404298
25.12562814070352,0.0,7406.9091798
30.150753768844226,0.0,7406.9091798
35.175879396984925,0.0,7406.9091798
40.20100502512563,0.0,7406.9091798
45.22613065326634,0.0,13167.837402500001
50.25125628140704,0.0,17282.7871096
55.276381909547744,0.0,17282.7871096
60.30150753768845,0.0,17282.7871096
65.32663316582915,0.0,20574.747070600002
70.35175879396985,0.0,20574.747070600002
75.37688442211056,0.0,30450.625977000003
80.40201005025126,0.0,30450.625977000003
85.42713567839196,0.0,37034.5434575
90.45226130653268,0.0,37034.5434575
95.47738693467338,0.0,37034.5434575
100.50251256281408,0.0,38680.523438000004
105.52763819095479,0.0,50202.382324900005
110.55276381909549,0.0,56786.301270300006
115.57788944723619,0.0,56786.301270300006
120.6030150753769,0.0,56786.301270300006
125.6281407035176,0.0,63370.219239100006
130.6532663316583,0.0,73246.09668060005
135.678391959799,0.0,73246.09668060005
140.7035175879397,0.0,79830.01660260008
145.72864321608043,0.0,83121.9765636001
150.75376884422113,0.0,89705.8964856001
155.77889447236183,0.0,89705.8964856001
160.80402010050253,0.0,99581.77490370015
165.82914572864323,0.0,112749.6118179002
170.85427135678393,0.0,112749.6118179002
175.87939698492463,0.0,119333.53125160023
180.90452261306535,0.0,119333.53125160023
185.92964824120605,0.0,122625.49072430025
190.95477386934675,0.0,139085.2890644003
195.97989949748745,822.9902344,144846.21728710036
201.00502512562815,1645.9794922,150607.1464864004
206.03015075376885,2468.9692383,156368.07568570043
211.05527638190958,2468.9692383,156368.07568570043
216.08040201005028,6583.9184571000005,168712.92285380053
221.10552763819098,8229.8984376,173650.86279530055
226.13065326633168,9052.8881837,176119.83154530055
231.15577889447238,11521.857910300001,186818.69922120066
236.18090452261308,11521.857910300001,186818.69922120066
241.2060301507538,13990.827148600001,190933.6494166007
246.2311557788945,18105.777344000002,203278.49853790077
251.2562814070352,21397.736816700002,212331.38720990083
256.2814070351759,23043.716308900002,218092.3164092009
261.3065326633166,23043.716308900002,218092.3164092009
266.3316582914573,26335.675293300003,224676.23388970096
271.356783919598,27981.654785500003,229614.17285460097
276.3819095477387,34565.5742192,246073.97070640107
281.4070351758794,34565.5742192,246073.97070640107
286.4321608040201,37857.534180200004,255949.8496128012
291.45728643216086,41972.483399000004,265002.73828480113
296.48241206030156,41972.483399000004,265002.73828480113
301.50753768844226,46087.432129500005,269117.687503601
306.53266331658295,49379.391602200005,283931.5043983006
311.55778894472365,52671.350586600005,293807.3823281003
316.58291457286435,55140.320801500005,297922.3320352002
321.60804020100505,57609.291016400006,302037.2817423001
326.63316582914575,59255.271485200006,306975.22070719994
331.65829145728645,66662.18115330001,322612.0278362995
336.68341708542715,68308.16064550003,327549.96728949936
341.70854271356785,72423.10986430004,336602.8564497991
346.73366834170855,76538.05810650003,342363.78564909886
351.75879396984925,78958.99609480002,346478.73437959875
356.78391959799,83896.93554800002,354708.63379379857
361.8090452261307,88011.88525510005,367053.4819384982
366.8341708542714,95093.69824350007,379398.3286182979
371.8592964824121,97554.86255020007,383513.27832539775
376.8844221105528,100023.83227680008,387628.22803249763
381.9095477386935,104961.77124170009,395858.1274466974
386.9346733668342,106604.2844253001,397504.10742719733
391.9597989949749,115657.17456220013,414786.89356019686
396.9849246231156,119772.12475760015,426308.7519587965
402.0100502512563,122252.77246270012,430423.7006892964
407.035175879397,127190.71093930016,437830.60938079614
412.0603015075377,131594.12524600016,446060.5083066959
417.0854271356784,134063.0949726002,453467.4169981957
422.11055276381916,142292.9924336003,468281.23584609525
427.13567839195986,143820.21362500032,473219.1757875951
432.16080402010056,150404.13354700038,485564.0234439948
437.18592964824126,154677.26635950044,493793.9213932946
442.21105527638196,154677.26635950044,493793.9213932946
447.23618090452266,166199.12524640054,517660.62549509393
452.26130653266335,169491.08374250057,526713.5141670938
457.28643216080405,174429.0236840006,534943.4126046941
462.31155778894475,176339.14526600062,539058.3628000943
467.33668341708545,180098.04590080061,544819.2924876945
472.36180904522615,187504.95459230072,556341.151374595
477.38693467336685,193265.88281500075,572800.9492263957
482.4120603015076,199339.3088405008,581853.8369217961
487.4371859296483,204275.59692650085,591729.7158281965
492.462311557789,208390.5461453009,601605.5937579969
497.4874371859297,212505.4948758009,608189.5112384972
502.5125628140704,217443.43432900094,619711.3706136977
507.5376884422111,223594.013186501,636994.1582115984
512.5628140703518,230447.60156550104,649339.0053796989
517.5879396984925,232093.58105770106,653453.9545984991
522.6130653266332,238677.50097970106,665798.8027431996
527.6381909547739,241922.9733918011,669913.7514736998
532.6633165829146,249796.9897493011,691311.4873138007
537.6884422110553,255557.91943690114,708594.2768649014
542.713567839196,258026.88867520113,712709.2255954016
547.7386934673367,264610.8076206011,725877.0644628021
552.7638190954774,265433.79736670107,732460.9843848024
557.7889447236181,268844.313235901,741513.8720802028
562.8140703517588,279297.1545446007,765380.5781352038
567.8391959798995,281766.1237829006,770318.516611804
572.8643216080402,289843.4658240004,790070.2744246048
577.8894472361809,293958.4150428003,800769.1425888053
582.9145728643217,296427.3847694002,804884.0927842055
587.9396984924624,300427.9841346001,813936.9804796058
592.9648241206031,310303.8615760999,841095.646007307
597.9899497487438,315241.8020058997,854263.4824332076
603.0150753768845,321854.3974649995,866608.3310662081
608.0402010050252,321854.3974649995,866608.3310662081
613.0653266331659,329755.5312540993,888829.056652409
618.0904522613066,335516.46191829914,906934.8339964098
623.1155778894473,341277.39014099905,918456.6914184103
628.140703517588,347038.3193402989,931624.5297975108
633.1658291457287,350356.5112348988,943146.3891727113
638.1909547738694,357763.4199263986,960429.178235512
643.2160804020101,358586.4096724986,965367.1181770122
648.2412060301508,366965.31689919834,983472.896009313
653.2663316582915,374638.6855515981,1008162.589368914
658.2914572864322,377930.64600089804,1020507.4370253145
663.3165829145729,382045.5952196979,1029560.323744115
668.3417085427136,385337.55420409783,1041082.1821427154
673.3668341708543,388521.3896532977,1052604.0395647157
678.391959798995,398677.95557139744,1083054.662611915
683.4170854271357,403615.8960011973,1097045.4936669145
688.4422110552764,407730.8442433972,1105275.3921045144
693.4673366834171,414314.762212197,1128319.1079251147
698.4924623115578,415137.751469997,1133257.0473783147
703.5175879396985,423778.1989798967,1153008.8047028142
708.5427135678393,430385.66382369655,1171937.5722812142
713.56783919598,434881.2036186964,1190865.036881114
718.5929648241207,440642.13330629625,1206500.5410317131
723.6180904522614,443934.09326729615,1215464.6298990133
728.6432160804021,450846.60254469595,1231612.2736981132
733.6683417085428,455737.2226619958,1254255.586198413
738.6934673366835,464790.10986909556,1277188.4565600127
743.7185929648242,468904.74536719546,1285418.3554859126
748.7437185929649,473019.69409769535,1297814.1779959125
753.7688442211056,476332.52905869536,1312810.7182794122
758.7939698492463,480447.4787657952,1324332.365252212
763.819095477387,490441.23853159486,1350668.040545512
768.8442211055277,494556.18726209475,1367127.8379090116
773.8693467336684,499856.58984999463,1382159.5332217116
778.8944723618091,505077.8581605945,1398379.1704289115
783.9195979899498,510015.79712549434,1408255.0488470115
788.9447236180905,513307.75659819425,1414010.0764349115
793.9698492462312,521392.237799494,1449398.6394236109
798.9949748743719,525966.3864811941,1461743.4865917107
804.0201005025126,530904.3254460943,1477521.2627149106
809.0452261306533,535842.2653875945,1489628.8979690105
814.070351758794,538311.2351141946,1500327.76808641
819.0954773869347,548248.135748995,1532424.3750205096
824.1206030150754,552363.0854560952,1545592.2138879094
829.1457286432161,558367.4687569955,1562052.0092982096
834.1708542713568,561659.4282296954,1574636.1118374094
839.1959798994976,564995.7382882956,1586157.969259409
844.2211055276383,567010.9919503956,1597566.2744353088
849.246231155779,576775.315680996,1623078.9609591083
854.2713567839197,580927.4487376963,1644476.6967992084
859.2964824120604,585042.3974681965,1660942.779563108
864.3216080402011,588361.2724681966,1672464.637961708
869.3467336683418,592476.2226635965,1684355.696799808
874.3718592964825,595882.2094799966,1700815.4936750075
879.3969849246232,602466.1279370966,1725472.4712144076
884.4221105527639,609850.751472297,1746047.2182850067
889.4472361809046,613142.7119215971,1760038.0459219068
894.4723618090453,615611.6811598972,1772438.2905510063
899.497487437186,616434.6709059973,1789721.0776606065
904.5226130653267,621666.0781326975,1807003.865258506
909.5477386934674,628171.9389725978,1833015.6980225055
914.5728643216081,630640.9091874979,1846183.536889905
919.5979899497488,633932.8676835981,1865111.6889897052
924.6231155778895,636308.0481035982,1875810.5571539053
929.6482412060302,637945.6965410983,1887332.415064205
934.6733668341709,642060.6457598985,1909706.3796641044
939.6984924623116,647181.3308185985,1936865.0442152035
944.7236180904523,650473.2902912986,1952501.8528092033
949.748743718593,652942.2600178987,1963006.8220476033
954.7738693467337,654137.4668049988,1979466.6198994033
959.7989949748744,654442.4250569989,1996749.4074973026
964.8241206030152,660203.3547445991,2025554.0520289026
969.8492462311559,665141.2927328993,2039544.8806424022
974.8743718592966,667564.5202719994,2060410.3122833024
979.8994974874373,667611.7016684994,2074401.1408968018
984.924623115578,667611.7016684994,2091683.928006402
989.9497487437187,670080.6713950995,2101559.806424502
994.9748743718594,675841.6005943997,2131187.441190499
1000.0,678185.0210045999,2156989.7397748963
