0,1,681524
0,10,626519
0,11,33210756
0,12,686736
0,13,11874458
0,14,859261
0,15,877342
0,16,629431
0,17,860792
0,18,721056
0,19,770700
0,2,10610374
0,20,562166
0,21,1605140
0,22,12945166
0,23,42443829
0,24,16498654
0,25,1027190
0,26,1266979
0,27,4744782
0,28,3389548
0,29,7927180
0,3,8485809
0,30,9320885
0,31,31230226
0,32,8760243
0,4,688724
0,5,2625589
0,6,4153194
0,7,1703814
0,8,693628
0,9,660227
10,11,33018770
10,12,494750
10,13,11682473
10,14,667275
10,15,685357
10,16,437446
10,17,668807
10,18,529070
10,19,578714
10,20,370180
10,21,1413154
10,22,12753181
10,23,42251843
10,24,16306668
10,25,835204
10,26,1074994
10,27,4552796
10,28,3197563
10,29,7735195
10,30,9128899
10,31,31038241
10,32,8568258
11,12,32801503
11,13,32801503
11,14,32801503
11,15,32801503
11,16,33021683
11,17,32801503
11,18,33113307
11,19,33162951
11,20,32954416
11,21,33997391
11,22,45337418
11,23,74836080
11,24,48890904
11,25,33419440
11,26,33659230
11,27,37137033
11,28,35781799
11,29,40319432
11,30,41713135
11,31,63622477
11,32,41152495
12,13,11465205
12,14,727645
12,15,745726
12,16,497663
12,17,729177
12,18,589287
12,19,638931
12,20,430396
12,21,1473371
12,22,12813398
12,23,42312060
12,24,16366884
12,25,895421
12,26,1135211
12,27,4613013
12,28,3257780
12,29,7795412
12,30,9189115
12,31,31098457
12,32,8628475
13,14,11465205
13,15,11465205
13,16,11685385
13,17,11465205
13,18,11777010
13,19,11826654
13,20,11618120
13,21,12661094
13,22,24001120
13,23,53499783
13,24,27554608
13,25,12083144
13,26,12322933
13,27,15800736
13,28,14445502
13,29,18983134
13,30,20376839
13,31,42286180
13,32,19816197
14,15,918251
14,16,670188
14,17,901702
14,18,761812
14,19,811456
14,20,602922
14,21,1645896
14,22,12985923
14,23,42484585
14,24,16539410
14,25,1067946
14,26,1307736
14,27,4785538
14,28,3430305
14,29,7967937
14,30,9361641
14,31,31270983
14,32,8801000
15,16,688269
15,17,919783
15,18,779894
15,19,829538
15,20,621003
15,21,1663978
15,22,13004004
15,23,42502667
15,24,16557492
15,25,1086028
15,26,1325817
15,27,4803620
15,28,3448386
15,29,7986018
15,30,9379722
15,31,31289063
15,32,8819081
16,17,671719
16,18,531983
16,19,581627
16,20,373092
16,21,1416067
