idx_run,connect_to_0,connect_to_1,connect_to_2,connect_to_3,connect_to_4,connect_to_5,connect_to_6,connect_to_7,connect_to_8,connect_to_9,connect_to_10,connect_to_11,connect_to_12,connect_to_13,connect_to_14,connect_to_15,connect_to_16,connect_to_17,connect_to_18,connect_to_19,connect_to_20,connect_to_21,connect_to_22,connect_to_23,connect_to_24,connect_to_25,connect_to_26,connect_to_27,connect_to_28,connect_to_29,connect_to_30,connect_to_31,connect_to_32
27,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP
28,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING
29,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING
30,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING
31,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING
32,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING
33,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP
34,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING
35,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP
36,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP
37,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP
38,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING
39,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,NOTHING
40,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,WWTP
41,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP
42,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,NOTHING
43,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING
44,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP
45,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP
46,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING
47,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP
48,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING
49,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING
50,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP
51,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,NOTHING,WWTP
52,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING
53,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,NOTHING,WWTP
54,WWTP,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,WWTP,WWTP,WWTP,WWTP,NOTHING,WWTP,NOTHING,WWTP,NOTHING,NOTHING,NOTHING,WWTP,WWTP,NOTHING,WWTP,WWTP,WWTP,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,NOTHING,WWTP,NOTHING,WWTP
