radius,reuse_network_length
0.0,0.0
5.025125628140704,363.097536577
10.050251256281408,363.097536577
15.075376884422113,363.097536577
20.100502512562816,363.097536577
25.12562814070352,363.097536577
30.150753768844226,749.960840091
35.175879396984925,749.960840091
40.20100502512563,749.960840091
45.22613065326634,749.960840091
50.25125628140704,749.960840091
55.276381909547744,749.960840091
60.30150753768845,749.960840091
65.32663316582915,1010.189986425
70.35175879396985,1010.189986425
75.37688442211056,1010.189986425
80.40201005025126,1010.189986425
85.42713567839196,1229.8484308659997
90.45226130653268,1229.8484308659997
95.47738693467338,1299.1069511889998
100.50251256281408,1299.1069511889998
105.52763819095479,1368.3654715119997
110.55276381909549,1368.3654715119997
115.57788944723619,1397.0532899399998
120.6030150753769,1609.7509023999994
125.6281407035176,1609.7509023999994
130.6532663316583,1736.3850595799993
135.678391959799,1736.3850595799993
140.7035175879397,1736.3850595799993
145.72864321608043,1903.589918657999
150.75376884422113,1932.277737085999
155.77889447236183,1932.277737085999
160.80402010050253,1932.277737085999
165.82914572864323,2111.3654796259993
170.85427135678393,2111.3654796259993
175.87939698492463,2670.3556937029994
180.90452261306535,2670.3556937029994
185.92964824120605,2670.3556937029994
190.95477386934675,2670.3556937029994
195.97989949748745,2739.6142140259994
201.00502512562815,2739.6142140259994
206.03015075376885,2739.6142140259994
211.05527638190958,2739.6142140259994
216.08040201005028,2739.6142140259994
221.10552763819098,2739.6142140259994
226.13065326633168,2739.6142140259994
231.15577889447238,2739.6142140259994
236.18090452261308,2808.8727343489995
241.2060301507538,3107.6338020949997
246.2311557788945,3222.385075805
251.2562814070352,3394.511986375
256.2814070351759,3521.146143555
261.3065326633166,3762.5315744449995
266.3316582914573,3762.5315744449995
271.356783919598,3762.5315744449995
276.3819095477387,3762.5315744449995
281.4070351758794,3762.5315744449995
286.4321608040201,3901.0486150949996
291.45728643216086,4390.780308854999
296.48241206030156,4476.843764137999
301.50753768844226,4476.843764137999
306.53266331658295,4892.394886080998
311.55778894472365,4892.394886080998
316.58291457286435,4892.394886080998
321.60804020100505,5035.833978218998
326.63316582914575,5296.063124554998
331.65829145728645,5296.063124554998
336.68341708542715,5757.106999884999
341.70854271356785,5757.106999884999
346.73366834170855,6414.043552714999
351.75879396984925,6414.043552714999
356.78391959799,6511.989891466999
361.8090452261307,6569.365528323
366.8341708542714,6691.077634013
371.8592964824121,6760.336154336999
376.8844221105528,7221.380029661999
381.9095477386935,7371.779953777001
386.9346733668342,8396.736094668004
391.9597989949749,8834.014203064004
396.9849246231156,8834.014203064004
402.0100502512563,9271.292311460007
407.035175879397,9577.014211185007
412.0603015075377,9997.487384613007
417.0854271356784,9997.487384613007
422.11055276381916,9997.487384613007
427.13567839195986,9997.487384613007
432.16080402010056,10205.262945587005
437.18592964824126,10205.262945587005
442.21105527638196,10262.638582443005
447.23618090452266,10372.467804662005
452.26130653266335,10429.843441518005
457.28643216080405,10544.594715230001
462.31155778894475,11039.248460478002
467.33668341708545,11598.238674557999
472.36180904522615,11598.238674557999
477.38693467336685,11626.926492985998
482.4120603015076,11736.755715205998
487.4371859296483,11736.755715205998
492.462311557789,12503.521490255996
497.4874371859297,12694.492116263995
502.5125628140704,12735.062818158995
507.5376884422111,12735.062818158995
512.5628140703518,12763.750636586994
517.5879396984925,12763.750636586994
522.6130653266332,12988.331132516994
527.6381909547739,13248.560278846995
532.6633165829146,13444.452956352994
537.6884422110553,14022.286885870994
542.713567839196,14270.633148733992
547.7386934673367,14409.150189383992
552.7638190954774,14409.150189383992
557.7889447236181,14409.150189383992
562.8140703517588,14409.150189383992
567.8391959798995,14466.525826239993
572.8643216080402,14466.525826239993
577.8894472361809,15025.516040324994
582.9145728643217,15711.140411591994
587.9396984924624,15711.140411591994
592.9648241206031,15837.774568771994
597.9899497487438,16000.057376351995
603.0150753768845,16040.628078246995
608.0402010050252,16138.574416997995
613.0653266331659,16893.457308573994
618.0904522613066,17146.72562293199
623.1155778894473,17325.81336547699
628.140703517588,17325.81336547699
633.1658291457287,17497.940276043988
638.1909547738694,18212.25246572499
643.2160804020101,18212.25246572499
648.2412060301508,18482.32571504299
653.2663316582915,18482.32571504299
658.2914572864322,18988.86234374999
663.3165829145729,19201.559956209985
668.3417085427136,19282.701360000985
673.3668341708543,19340.076996856984
678.391959798995,19380.647698752986
683.4170854271357,19478.594037503986
688.4422110552764,19507.281855931986
693.4673366834171,19507.281855931986
698.4924623115578,19980.20861473199
703.5175879396985,20106.84277191099
708.5427135678393,20106.84277191099
713.56783919598,20192.90622719499
718.5929648241207,20885.49143042499
723.6180904522614,21150.64262824899
728.6432160804021,21208.01826510499
733.6683417085428,21824.384116042987
738.6934673366835,21922.33045479499
743.7185929648242,21991.58897511799
748.7437185929649,22158.79383419199
753.7688442211056,22665.330462906993
758.7939698492463,23415.29130300199
763.819095477387,23472.66693985799
768.8442211055277,23663.63756586799
773.8693467336684,23940.671647163985
778.8944723618091,24095.993622771985
783.9195979899498,24442.286224386986
788.9447236180905,24609.491083462988
793.9698492462312,24984.47150350799
798.9949748743719,25416.82756040699
804.0201005025126,25474.20319726299
809.0452261306533,25865.98855226898
814.070351758794,26291.383777195984
819.0954773869347,26429.900817842983
824.1206030150754,26654.48131377298
829.1457286432161,27000.77391539298
834.1708542713568,27813.03244382098
839.1959798994976,28372.022657900976
844.2211055276383,28556.032451938976
849.246231155779,28723.237311013978
854.2713567839197,28792.49583133698
859.2964824120604,29098.217731058976
864.3216080402011,29771.95921885297
869.3467336683418,30342.832316398973
874.3718592964825,30866.173880071972
879.3969849246232,31384.593392258972
884.4221105527639,31747.69092883597
889.4472361809046,32029.64706162497
894.4723618090453,32519.378755382968
899.497487437186,32703.388549417967
904.5226130653267,32968.539747246956
909.5477386934674,33286.144530436955
914.5728643216081,34289.37368488395
919.5979899497488,34807.79319706796
924.6231155778895,35206.53938404895
929.6482412060302,35275.797904371946
934.6733668341709,35443.002763446944
939.6984924623116,35841.74895043394
944.7236180904523,36008.953809509934
949.748743718593,36338.44147616393
954.7738693467337,37463.38273629594
959.7989949748744,37740.41681759094
964.8241206030152,38437.924072319955
969.8492462311559,38466.611890747954
974.8743718592966,38846.514362280956
979.8994974874373,39510.41174708195
984.924623115578,39746.87512647795
989.9497487437187,40167.348299911944
994.9748743718594,40618.548072259946
1000.0,40659.118774154944
